session_id,user_id,timestamp,channel,utm_source,utm_medium,utm_campaign,page_visited,session_duration_sec,device
SES_331087,USR_00018,2024-02-09 21:44:00,Google_Search,google,cpc,GSearch_Brand,/product,849,desktop
SES_401244,USR_00018,2024-02-08 02:25:00,Organic,organic,organic,Organic_SEO,/checkout,796,desktop
SES_701581,USR_00018,2024-02-03 08:11:00,TikTok,tiktok,cpc,TikTok_Video1,/checkout,729,mobile
SES_316823,USR_00018,2024-02-09 07:12:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/signup,285,tablet
SES_743644,USR_00019,2024-01-21 00:48:00,Google_Search,google,cpc,GSearch_Brand,/signup,584,mobile
SES_702427,USR_00019,2024-01-27 08:31:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/product,812,tablet
SES_543732,USR_00019,2024-01-24 15:34:00,Meta_Facebook,facebook,cpc,FB_Awareness,/home,544,desktop
SES_806848,USR_00020,2024-01-30 06:24:00,Organic,organic,organic,,/blog,133,desktop
SES_382495,USR_00020,2024-01-28 15:39:00,TikTok,tiktok,cpc,TikTok_Promo,/pricing,404,mobile
SES_995825,USR_00020,2024-01-30 12:17:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/about,214,tablet
SES_943146,USR_00020,2024-01-25 07:35:00,Organic,organic,organic,Organic_SEO,/about,420,mobile
SES_990649,USR_00021,2024-01-27 20:33:00,Email,email,email,Email_Welcome,/blog,767,desktop
SES_203782,USR_00021,2024-01-27 22:10:00,Meta_Facebook,facebook,cpc,,/home,250,desktop
SES_684572,USR_00022,2024-03-22 08:22:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/home,451,mobile
SES_780663,USR_00022,2024-03-26 17:11:00,Email,email,email,Email_Retention,/signup,321,desktop
SES_182216,USR_00022,2024-03-26 12:39:00,TikTok,tiktok,cpc,TikTok_Promo,/pricing,504,tablet
SES_761938,USR_00022,2024-03-23 19:36:00,Email,email,email,Email_Retention,/about,899,mobile
SES_734792,USR_00023,2024-01-26 20:25:00,Google_Search,google,cpc,GSearch_Generic,/pricing,485,desktop
SES_346024,USR_00024,2024-03-14 21:16:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/checkout,747,tablet
SES_596171,USR_00024,2024-03-08 17:03:00,Google_Search,google,cpc,GSearch_Generic,/home,819,desktop
SES_508783,USR_00024,2024-03-08 09:14:00,Google_Search,google,cpc,GSearch_Competitor,/product,785,desktop
SES_136862,USR_00024,2024-03-14 21:22:00,TikTok,tiktok,cpc,TikTok_Video1,/signup,363,desktop
SES_831510,USR_00024,2024-03-14 17:11:00,Organic,organic,organic,Organic_Direct,/blog,641,desktop
SES_563324,USR_00025,2024-02-29 09:23:00,Organic,organic,organic,Organic_Direct,/about,296,mobile
SES_460589,USR_00025,2024-02-29 09:30:00,Google_Search,google,cpc,GSearch_Competitor,/blog,38,tablet
SES_936726,USR_00025,2024-03-03 09:38:00,Organic,organic,organic,Organic_Direct,/product,845,mobile
SES_849666,USR_00025,2024-03-01 23:41:00,Google_Search,google,cpc,GSearch_Competitor,/about,878,desktop
SES_938817,USR_00025,2024-02-28 19:51:00,Google_Search,google,cpc,GSearch_Generic,/checkout,731,desktop
SES_767830,USR_00026,2024-03-13 14:39:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/about,308,tablet
SES_123205,USR_00026,2024-03-16 05:06:00,Google_Search,google,cpc,GSearch_Brand,/pricing,305,mobile
SES_327738,USR_00026,2024-03-16 10:26:00,LinkedIn,,cpc,,/pricing,834,desktop
SES_174852,USR_00027,2024-02-29 17:30:00,Meta_Facebook,,cpc,FB_Retargeting,/product,226,desktop
SES_503489,USR_00027,2024-03-06 14:15:00,Email,email,email,Email_Welcome,/checkout,64,mobile
SES_595793,USR_00027,2024-03-07 12:43:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/pricing,360,mobile
SES_154617,USR_00028,2024-03-12 21:13:00,Google_Search,google,cpc,GSearch_Competitor,/home,271,tablet
SES_354897,USR_00029,2024-02-11 00:02:00,Google_Search,google,cpc,GSearch_Generic,/blog,832,tablet
SES_265358,USR_00029,2024-02-18 15:05:00,TikTok,tiktok,cpc,TikTok_Video1,/checkout,663,desktop
SES_212608,USR_00029,2024-02-11 04:31:00,Google_Search,google,cpc,GSearch_Competitor,/product,354,tablet
SES_496119,USR_00029,2024-02-16 11:46:00,Email,email,email,,/product,286,mobile
SES_464552,USR_00030,2024-03-01 10:46:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/about,311,tablet
SES_667915,USR_00030,2024-02-28 11:29:00,Google_Search,google,cpc,GSearch_Brand,/home,824,tablet
SES_750324,USR_00030,2024-03-03 07:20:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/checkout,94,tablet
SES_742818,USR_00030,2024-03-03 09:20:00,Google_Search,google,cpc,GSearch_Competitor,/about,686,desktop
SES_212255,USR_00031,2024-01-14 15:12:00,Google_Search,google,cpc,,/home,62,tablet
SES_318877,USR_00032,2024-03-07 20:31:00,Google_Search,google,cpc,GSearch_Brand,/signup,111,desktop
SES_486996,USR_00032,2024-03-03 22:03:00,Meta_Facebook,facebook,cpc,FB_Awareness,/signup,661,desktop
SES_644719,USR_00032,2024-03-03 03:06:00,LinkedIn,,cpc,LinkedIn_Lead,/checkout,266,tablet
SES_287588,USR_00032,2024-03-09 17:47:00,Google_Search,google,cpc,GSearch_Competitor,/blog,455,tablet
SES_289159,USR_00033,2024-03-19 17:25:00,TikTok,tiktok,cpc,TikTok_Promo,/blog,375,tablet
SES_985893,USR_00034,2024-03-16 11:26:00,Organic,organic,organic,Organic_Direct,/signup,678,desktop
SES_880746,USR_00034,2024-03-14 08:23:00,TikTok,tiktok,cpc,TikTok_Video1,/about,488,desktop
SES_414922,USR_00035,2024-01-09 07:13:00,TikTok,tiktok,cpc,TikTok_Video1,/signup,352,mobile
SES_484914,USR_00036,2024-03-13 18:15:00,Google_Search,google,cpc,GSearch_Generic,/product,292,desktop
SES_931420,USR_00036,2024-03-12 15:11:00,TikTok,tiktok,cpc,TikTok_Video1,/about,875,tablet
SES_500080,USR_00036,2024-03-12 02:49:00,TikTok,,cpc,TikTok_Promo,/home,819,desktop
SES_784488,USR_00037,2024-03-02 19:59:00,Organic,organic,organic,Organic_SEO,/home,679,tablet
SES_256846,USR_00037,2024-03-02 10:32:00,Google_Search,,cpc,GSearch_Competitor,/checkout,256,mobile
SES_703198,USR_00037,2024-02-25 16:05:00,TikTok,tiktok,cpc,TikTok_Promo,/product,472,desktop
SES_518582,USR_00038,2024-01-21 08:05:00,Meta_Facebook,facebook,cpc,,/about,543,desktop
SES_783932,USR_00038,2024-01-21 18:12:00,LinkedIn,linkedin,cpc,LinkedIn_Lead,/blog,660,tablet
SES_703998,USR_00038,2024-01-22 02:07:00,Google_Search,google,cpc,GSearch_Generic,/checkout,453,desktop
SES_907069,USR_00038,2024-01-24 09:10:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/pricing,661,desktop
SES_894541,USR_00039,2024-01-26 23:54:00,Google_Search,google,cpc,GSearch_Brand,/home,145,tablet
SES_959972,USR_00039,2024-01-19 09:00:00,Google_Search,google,cpc,GSearch_Competitor,/pricing,740,mobile
SES_322167,USR_00039,2024-01-23 06:34:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/blog,798,desktop
SES_494900,USR_00039,2024-01-26 18:57:00,TikTok,tiktok,cpc,TikTok_Video1,/checkout,569,mobile
SES_384459,USR_00039,2024-01-23 01:29:00,Google_Search,google,cpc,GSearch_Generic,/checkout,38,mobile
SES_505298,USR_00040,2024-02-09 07:24:00,Email,email,email,Email_Welcome,/blog,756,mobile
SES_624970,USR_00040,2024-02-09 14:35:00,Meta_Facebook,facebook,cpc,FB_Awareness,/checkout,52,mobile
SES_264631,USR_00040,2024-02-07 00:22:00,Organic,organic,organic,Organic_Direct,/checkout,390,desktop
SES_370196,USR_00040,2024-02-08 12:56:00,Google_Search,google,cpc,GSearch_Competitor,/signup,60,tablet
SES_500773,USR_00041,2024-01-31 16:43:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/blog,670,tablet
SES_734775,USR_00041,2024-02-01 10:28:00,Meta_Facebook,facebook,cpc,FB_Awareness,/blog,164,mobile
SES_839389,USR_00041,2024-01-31 16:58:00,TikTok,tiktok,cpc,TikTok_Video1,/product,470,mobile
SES_433025,USR_00042,2024-01-26 04:46:00,Google_Search,google,cpc,GSearch_Competitor,/home,813,desktop
SES_767782,USR_00042,2024-01-27 23:17:00,Organic,organic,organic,Organic_Direct,/product,827,mobile
SES_379825,USR_00042,2024-01-22 19:36:00,Google_Search,google,cpc,GSearch_Brand,/blog,266,tablet
SES_599753,USR_00042,2024-01-24 04:32:00,Google_Search,google,cpc,GSearch_Brand,/signup,649,desktop
SES_302647,USR_00042,2024-01-26 07:02:00,Google_Search,google,cpc,GSearch_Generic,/about,812,mobile
SES_560623,USR_00043,2024-02-25 19:31:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/checkout,362,desktop
SES_855185,USR_00043,2024-02-25 10:25:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/blog,790,tablet
SES_357657,USR_00043,2024-02-22 16:34:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/about,782,mobile
SES_967823,USR_00044,2024-02-19 09:29:00,Google_Search,google,cpc,GSearch_Generic,/product,462,desktop
SES_194834,USR_00044,2024-02-19 23:32:00,TikTok,tiktok,cpc,TikTok_Video1,/home,214,tablet
SES_718990,USR_00044,2024-02-21 22:57:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/product,495,mobile
SES_853270,USR_00044,2024-02-23 23:07:00,Meta_Facebook,facebook,cpc,FB_Awareness,/home,146,tablet
SES_929493,USR_00044,2024-02-26 16:39:00,TikTok,tiktok,cpc,TikTok_Video1,/product,417,tablet
SES_906519,USR_00045,2024-01-08 22:03:00,Organic,organic,organic,Organic_SEO,/about,345,desktop
SES_312705,USR_00045,2024-01-13 00:39:00,Google_Search,google,cpc,GSearch_Brand,/signup,289,mobile
SES_617437,USR_00045,2024-01-13 07:13:00,Meta_Facebook,facebook,cpc,,/blog,705,desktop
SES_673929,USR_00045,2024-01-13 08:39:00,Meta_Facebook,facebook,cpc,,/checkout,600,mobile
SES_799396,USR_00046,2024-01-26 18:53:00,Google_Search,,cpc,GSearch_Generic,/blog,335,desktop
SES_793029,USR_00047,2024-01-08 22:44:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/blog,616,tablet
SES_497346,USR_00048,2024-03-04 02:48:00,Organic,organic,organic,Organic_SEO,/about,893,tablet
SES_445200,USR_00048,2024-02-29 16:26:00,Google_Search,google,cpc,GSearch_Brand,/blog,244,tablet
SES_191928,USR_00049,2024-03-19 15:46:00,Google_Search,google,cpc,GSearch_Competitor,/checkout,649,tablet
SES_753518,USR_00049,2024-03-23 11:59:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/product,659,tablet
SES_404598,USR_00050,2024-03-14 06:00:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/home,54,desktop
SES_534153,USR_00050,2024-03-08 01:21:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/pricing,603,tablet
SES_171131,USR_00050,2024-03-10 09:19:00,Google_Search,google,cpc,GSearch_Brand,/blog,593,desktop
SES_745915,USR_00050,2024-03-07 00:53:00,Google_Search,google,cpc,GSearch_Generic,/product,228,desktop
SES_663051,USR_00051,2024-03-09 10:29:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/signup,863,desktop
SES_682145,USR_00051,2024-03-02 17:01:00,Email,email,email,Email_Promo,/product,621,tablet
SES_981578,USR_00051,2024-03-07 00:21:00,LinkedIn,,cpc,LinkedIn_Lead,/about,671,tablet
SES_839525,USR_00052,2024-03-20 10:45:00,Google_Search,google,cpc,GSearch_Brand,/home,308,desktop
SES_417329,USR_00052,2024-03-15 06:33:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/pricing,209,mobile
SES_624344,USR_00053,2024-01-08 04:12:00,Organic,organic,organic,Organic_Direct,/pricing,525,tablet
SES_641218,USR_00053,2024-01-09 21:08:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/product,771,mobile
SES_146168,USR_00053,2024-01-12 21:54:00,Meta_Facebook,facebook,cpc,FB_Awareness,/blog,119,desktop
SES_895338,USR_00054,2024-01-07 09:40:00,Meta_Facebook,facebook,cpc,,/product,358,mobile
SES_223365,USR_00054,2024-01-09 08:09:00,Google_Search,google,cpc,GSearch_Competitor,/product,310,mobile
SES_433955,USR_00054,2024-01-06 08:09:00,Organic,organic,organic,Organic_SEO,/checkout,853,desktop
SES_565198,USR_00054,2024-01-09 01:08:00,Google_Search,google,cpc,GSearch_Generic,/home,512,tablet
SES_721549,USR_00055,2024-01-20 20:53:00,Google_Search,google,cpc,GSearch_Generic,/checkout,746,desktop
SES_659399,USR_00056,2024-02-19 02:59:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/signup,812,desktop
SES_817727,USR_00056,2024-02-17 20:45:00,Google_Search,google,cpc,GSearch_Competitor,/signup,506,desktop
SES_481104,USR_00056,2024-02-18 12:11:00,Organic,organic,organic,Organic_SEO,/checkout,711,desktop
SES_601903,USR_00056,2024-02-20 14:54:00,Meta_Facebook,,cpc,FB_Retargeting,/product,319,desktop
SES_441699,USR_00056,2024-02-17 17:41:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/home,841,desktop
SES_605806,USR_00057,2024-03-06 12:04:00,TikTok,tiktok,cpc,TikTok_Video1,/pricing,243,tablet
SES_827851,USR_00057,2024-03-06 07:11:00,LinkedIn,linkedin,cpc,LinkedIn_Lead,/checkout,715,mobile
SES_961953,USR_00057,2024-03-07 14:11:00,Google_Search,google,cpc,GSearch_Competitor,/pricing,445,mobile
SES_164468,USR_00057,2024-03-01 02:13:00,TikTok,tiktok,cpc,TikTok_Promo,/signup,172,tablet
SES_745474,USR_00057,2024-02-29 18:28:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/product,240,tablet
SES_193624,USR_00058,2024-02-12 18:00:00,Organic,organic,organic,Organic_Direct,/blog,552,desktop
SES_155708,USR_00058,2024-02-10 00:45:00,Email,email,email,Email_Welcome,/blog,870,desktop
SES_513420,USR_00058,2024-02-09 20:20:00,Email,email,email,Email_Welcome,/checkout,421,desktop
SES_984293,USR_00059,2024-02-28 11:53:00,TikTok,tiktok,cpc,TikTok_Promo,/about,187,desktop
SES_610343,USR_00059,2024-02-27 21:27:00,Google_Search,google,cpc,GSearch_Brand,/product,116,mobile
SES_288531,USR_00059,2024-03-02 14:32:00,Email,email,email,Email_Retention,/about,595,desktop
SES_622355,USR_00059,2024-03-02 23:15:00,Meta_Facebook,facebook,cpc,,/checkout,543,desktop
SES_218661,USR_00060,2024-03-15 18:30:00,Google_Search,google,cpc,GSearch_Brand,/checkout,111,mobile
SES_357143,USR_00060,2024-03-14 15:40:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/checkout,709,tablet
SES_661023,USR_00060,2024-03-11 00:30:00,TikTok,tiktok,cpc,TikTok_Promo,/about,554,desktop
SES_726667,USR_00060,2024-03-15 23:19:00,Meta_Facebook,facebook,cpc,,/checkout,833,tablet
SES_873199,USR_00061,2024-01-15 19:01:00,TikTok,tiktok,cpc,TikTok_Video1,/pricing,526,mobile
SES_388586,USR_00061,2024-01-10 08:00:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/checkout,144,tablet
SES_283919,USR_00061,2024-01-10 08:50:00,Organic,organic,organic,Organic_SEO,/checkout,271,desktop
SES_961639,USR_00062,2024-03-08 04:53:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/about,800,desktop
SES_705822,USR_00062,2024-03-14 23:53:00,Google_Search,google,cpc,GSearch_Generic,/pricing,85,tablet
SES_888977,USR_00063,2024-01-15 17:14:00,Google_Search,google,cpc,GSearch_Generic,/about,729,tablet
SES_402820,USR_00063,2024-01-21 14:24:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/checkout,353,tablet
SES_552760,USR_00063,2024-01-15 19:58:00,Google_Search,google,cpc,GSearch_Competitor,/checkout,309,desktop
SES_885478,USR_00064,2024-02-05 07:46:00,Google_Search,google,cpc,GSearch_Competitor,/checkout,632,mobile
SES_108887,USR_00064,2024-02-09 02:00:00,TikTok,tiktok,cpc,,/about,130,tablet
SES_302458,USR_00064,2024-02-05 01:01:00,TikTok,tiktok,cpc,TikTok_Promo,/blog,124,mobile
SES_494220,USR_00065,2024-01-29 21:48:00,LinkedIn,,cpc,LinkedIn_B2B,/checkout,609,mobile
SES_179392,USR_00065,2024-01-29 20:29:00,TikTok,tiktok,cpc,TikTok_Promo,/pricing,817,desktop
SES_507466,USR_00065,2024-02-02 10:03:00,Google_Search,google,cpc,GSearch_Brand,/pricing,862,desktop
SES_511707,USR_00065,2024-01-30 05:41:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/about,141,mobile
SES_371577,USR_00065,2024-02-03 03:02:00,Google_Search,google,cpc,GSearch_Competitor,/home,102,tablet
SES_139673,USR_00066,2024-02-27 21:24:00,Email,email,email,,/pricing,185,tablet
SES_614514,USR_00066,2024-03-03 15:27:00,Organic,organic,organic,Organic_SEO,/about,894,tablet
SES_917710,USR_00066,2024-02-28 15:07:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/blog,578,desktop
SES_456581,USR_00067,2024-02-14 02:53:00,Google_Search,,cpc,GSearch_Competitor,/about,808,desktop
SES_413388,USR_00067,2024-02-11 22:24:00,Google_Search,google,cpc,GSearch_Brand,/home,675,tablet
SES_137432,USR_00067,2024-02-13 06:01:00,Meta_Facebook,facebook,cpc,FB_Awareness,/checkout,637,mobile
SES_951211,USR_00068,2024-02-20 14:01:00,LinkedIn,linkedin,cpc,LinkedIn_Lead,/home,377,mobile
SES_785611,USR_00068,2024-02-24 21:33:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/about,724,tablet
SES_248468,USR_00068,2024-02-21 15:41:00,LinkedIn,linkedin,cpc,,/home,512,tablet
SES_152384,USR_00068,2024-02-19 09:52:00,Google_Search,google,cpc,GSearch_Competitor,/signup,129,desktop
SES_745533,USR_00069,2024-01-23 07:04:00,Email,email,email,Email_Welcome,/signup,237,desktop
SES_817318,USR_00069,2024-01-27 18:34:00,Email,email,email,Email_Retention,/product,359,mobile
SES_894348,USR_00069,2024-01-22 13:10:00,TikTok,,cpc,TikTok_Promo,/checkout,408,tablet
SES_988528,USR_00069,2024-01-24 20:39:00,Meta_Facebook,,cpc,FB_Awareness,/about,826,mobile
SES_193471,USR_00069,2024-01-22 22:41:00,Email,,email,Email_Welcome,/blog,320,desktop
SES_283027,USR_00070,2024-01-20 19:44:00,Google_Search,google,cpc,GSearch_Generic,/home,640,mobile
SES_464750,USR_00070,2024-01-24 13:00:00,TikTok,tiktok,cpc,TikTok_Video1,/blog,271,mobile
SES_665940,USR_00070,2024-01-18 16:14:00,Organic,organic,organic,Organic_SEO,/about,818,tablet
SES_984769,USR_00070,2024-01-20 15:31:00,Google_Search,google,cpc,GSearch_Brand,/product,193,tablet
SES_895248,USR_00071,2024-01-12 14:02:00,Google_Search,google,cpc,GSearch_Generic,/home,788,mobile
SES_346729,USR_00072,2024-01-25 23:28:00,LinkedIn,linkedin,cpc,LinkedIn_Lead,/blog,623,desktop
SES_215482,USR_00072,2024-01-29 10:14:00,Google_Search,google,cpc,GSearch_Competitor,/home,272,tablet
SES_713513,USR_00072,2024-01-29 15:03:00,Email,email,email,Email_Promo,/about,178,mobile
SES_762722,USR_00072,2024-01-30 11:17:00,Google_Search,google,cpc,GSearch_Generic,/product,373,mobile
SES_588148,USR_00072,2024-01-23 14:26:00,TikTok,tiktok,cpc,TikTok_Video1,/product,808,desktop
SES_340860,USR_00073,2024-02-09 02:26:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/signup,564,desktop
SES_871939,USR_00073,2024-02-10 07:15:00,TikTok,tiktok,cpc,TikTok_Promo,/pricing,474,tablet
SES_593515,USR_00074,2024-03-18 23:49:00,Organic,organic,organic,,/blog,64,desktop
SES_352194,USR_00074,2024-03-22 02:35:00,Meta_Facebook,facebook,cpc,FB_Awareness,/signup,42,tablet
SES_603088,USR_00075,2024-01-30 21:19:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/product,750,desktop
SES_525051,USR_00075,2024-01-28 05:50:00,Organic,organic,organic,Organic_Direct,/signup,409,tablet
SES_824304,USR_00075,2024-02-04 10:33:00,LinkedIn,linkedin,cpc,LinkedIn_B2B,/home,333,desktop
SES_452001,USR_00075,2024-02-01 23:59:00,TikTok,tiktok,cpc,TikTok_Video1,/home,557,tablet
SES_283781,USR_00076,2024-01-08 20:35:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/checkout,98,tablet
SES_601736,USR_00076,2024-01-10 23:48:00,Google_Search,google,cpc,GSearch_Generic,/blog,749,mobile
SES_157105,USR_00076,2024-01-10 02:23:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/pricing,493,desktop
SES_406461,USR_00077,2024-03-09 14:39:00,Meta_Facebook,facebook,cpc,FB_Awareness,/pricing,849,tablet
SES_287497,USR_00077,2024-03-09 09:04:00,Google_Search,,cpc,GSearch_Generic,/home,198,desktop
SES_757746,USR_00077,2024-03-09 00:18:00,TikTok,tiktok,cpc,TikTok_Promo,/about,728,tablet
SES_405677,USR_00077,2024-03-10 06:04:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/home,851,mobile
SES_609763,USR_00077,2024-03-13 18:42:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/checkout,572,tablet
SES_607765,USR_00078,2024-03-03 11:18:00,TikTok,tiktok,cpc,TikTok_Promo,/signup,895,mobile
SES_268600,USR_00078,2024-03-01 22:34:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/pricing,216,mobile
SES_232617,USR_00078,2024-03-01 14:16:00,Google_Search,,cpc,GSearch_Brand,/pricing,218,mobile
SES_270495,USR_00078,2024-02-28 17:19:00,TikTok,tiktok,cpc,TikTok_Promo,/home,55,desktop
