date,channel,campaign,amount_spent_usd,clicks,impressions,cpc
2024-01-03,TikTok,TikTok_Video1,1494.96,820,36900,1.823
2024-01-03,TikTok,TikTok_Promo,1319.01,2494,42398,0.529
2024-01-03,LinkedIn,LinkedIn_B2B,1831.59,994,26838,1.843
2024-01-03,LinkedIn,LinkedIn_Lead,2014.06,1491,41748,1.351
2024-01-03,Email,Email_Welcome,158.69,97,2522,1.636
2024-01-03,Email,Email_Promo,292.97,121,5082,2.421
2024-01-03,Email,Email_Retention,278.16,103,2987,2.701
2024-01-03,Organic,Organic_SEO,0.0,309,14832,0.0
2024-01-03,Organic,Organic_Direct,0.0,241,4820,0.0
2024-01-04,Google_Search,GSearch_Brand,1848.45,755,32465,2.448
2024-01-04,Google_Search,GSearch_Generic,2796.23,1399,57359,1.999
2024-01-04,Google_Search,GSearch_Competitor,548.69,194,5626,2.828
2024-01-04,Meta_Facebook,FB_Retargeting,707.07,641,29486,1.103
2024-01-04,Meta_Facebook,FB_Lookalike,1909.81,2674,109634,0.714
2024-01-04,Meta_Facebook,FB_Awareness,1687.24,572,25168,2.95
2024-01-04,TikTok,TikTok_Video1,1195.58,1456,58240,0.821
2024-01-04,TikTok,TikTok_Promo,1430.9,1567,67381,0.913
2024-01-04,LinkedIn,LinkedIn_B2B,2232.11,1432,32936,1.559
2024-01-04,LinkedIn,LinkedIn_Lead,2350.72,984,21648,2.389
2024-01-04,Email,Email_Welcome,228.24,152,5016,1.502
2024-01-04,Email,Email_Promo,159.53,88,1496,1.813
2024-01-04,Email,Email_Retention,111.98,169,1859,0.663
2024-01-04,Organic,Organic_SEO,0.0,167,7849,0.0
2024-01-04,Organic,Organic_Direct,0.0,86,4300,0.0
2024-01-05,Google_Search,GSearch_Brand,647.18,968,11616,0.669
2024-01-05,Google_Search,GSearch_Generic,2649.09,3912,97800,0.677
2024-01-05,Google_Search,GSearch_Competitor,1196.19,698,30712,1.714
2024-01-05,Meta_Facebook,FB_Retargeting,524.93,184,8464,2.853
2024-01-05,Meta_Facebook,FB_Lookalike,1279.56,1155,46200,1.108
2024-01-05,Meta_Facebook,FB_Awareness,1672.74,1713,27408,0.976
2024-01-05,TikTok,TikTok_Video1,1056.68,762,27432,1.387
2024-01-05,TikTok,TikTok_Promo,807.13,347,5552,2.326
2024-01-05,LinkedIn,LinkedIn_B2B,527.29,227,3632,2.323
2024-01-05,LinkedIn,LinkedIn_Lead,922.18,945,35910,0.976
2024-01-05,Email,Email_Welcome,85.05,88,3432,0.966
2024-01-05,Email,Email_Promo,112.45,40,1520,2.811
2024-01-05,Email,Email_Retention,252.01,95,1520,2.653
2024-01-05,Organic,Organic_SEO,0.0,326,3260,0.0
2024-01-05,Organic,Organic_Direct,0.0,435,10875,0.0
2024-01-06,Google_Search,GSearch_Brand,915.78,534,12282,1.715
2024-01-06,Google_Search,GSearch_Generic,2661.63,965,19300,2.758
2024-01-06,Google_Search,GSearch_Competitor,1447.43,488,12688,2.966
2024-01-06,Meta_Facebook,FB_Retargeting,1875.08,761,21308,2.464
2024-01-06,Meta_Facebook,FB_Lookalike,1019.11,352,15840,2.895
2024-01-06,Meta_Facebook,FB_Awareness,1425.18,830,18260,1.717
2024-01-06,TikTok,TikTok_Video1,585.72,200,9400,2.929
2024-01-06,TikTok,TikTok_Promo,1156.46,1772,53160,0.653
2024-01-06,LinkedIn,LinkedIn_B2B,520.05,265,11130,1.962
2024-01-06,LinkedIn,LinkedIn_Lead,2330.71,1275,16575,1.828
2024-01-06,Email,Email_Welcome,290.19,414,8694,0.701
2024-01-06,Email,Email_Promo,67.13,100,2500,0.671
2024-01-06,Email,Email_Retention,150.94,52,2392,2.903
2024-01-06,Organic,Organic_SEO,0.0,354,4248,0.0
2024-01-06,Organic,Organic_Direct,0.0,264,12408,0.0
2024-01-07,Google_Search,GSearch_Brand,1913.07,1481,38506,1.292
2024-01-07,Google_Search,GSearch_Generic,1010.65,441,11025,2.292
2024-01-07,Google_Search,GSearch_Competitor,1164.04,1407,40803,0.827
2024-01-07,Meta_Facebook,FB_Retargeting,1077.28,381,5334,2.828
2024-01-07,Meta_Facebook,FB_Lookalike,315.84,153,7038,2.064
2024-01-07,Meta_Facebook,FB_Awareness,1993.36,2917,67091,0.683
2024-01-07,TikTok,TikTok_Video1,857.65,1031,32992,0.832
2024-01-07,TikTok,TikTok_Promo,1345.12,498,16434,2.701
2024-01-07,LinkedIn,LinkedIn_B2B,998.47,625,27500,1.598
2024-01-07,LinkedIn,LinkedIn_Lead,1877.43,925,39775,2.03
2024-01-07,Email,Email_Welcome,51.96,20,580,2.598
2024-01-07,Email,Email_Promo,282.94,372,6696,0.761
2024-01-07,Email,Email_Retention,116.12,42,1890,2.765
2024-01-07,Organic,Organic_SEO,0.0,194,9312,0.0
2024-01-07,Organic,Organic_Direct,0.0,225,5175,0.0
2024-01-08,Google_Search,GSearch_Brand,2218.74,842,35364,2.635
2024-01-08,Google_Search,GSearch_Generic,1721.33,622,8086,2.767
2024-01-08,Google_Search,GSearch_Competitor,730.75,468,12636,1.561
2024-01-08,Meta_Facebook,FB_Retargeting,374.95,281,5058,1.334
2024-01-08,Meta_Facebook,FB_Lookalike,1383.09,1197,45486,1.155
2024-01-08,Meta_Facebook,FB_Awareness,1237.86,788,7880,1.571
2024-01-08,TikTok,TikTok_Video1,345.44,120,2280,2.879
2024-01-08,TikTok,TikTok_Promo,909.27,351,16497,2.591
2024-01-08,LinkedIn,LinkedIn_B2B,1560.3,991,11892,1.574
2024-01-08,LinkedIn,LinkedIn_Lead,1047.34,381,4572,2.749
2024-01-08,Email,Email_Welcome,274.73,267,6675,1.029
2024-01-08,Email,Email_Promo,216.73,156,7020,1.389
2024-01-08,Email,Email_Retention,271.03,178,8722,1.523
2024-01-08,Organic,Organic_SEO,0.0,171,3420,0.0
2024-01-08,Organic,Organic_Direct,0.0,465,9765,0.0
2024-01-09,Google_Search,GSearch_Brand,2703.54,4810,149110,0.562
2024-01-09,Google_Search,GSearch_Generic,2455.97,1605,40125,1.53
2024-01-09,Google_Search,GSearch_Competitor,1167.01,472,7552,2.472
2024-01-09,Meta_Facebook,FB_Retargeting,950.32,1592,63680,0.597
2024-01-09,Meta_Facebook,FB_Lookalike,678.14,266,10374,2.549
2024-01-09,Meta_Facebook,FB_Awareness,894.42,350,8400,2.555
2024-01-09,TikTok,TikTok_Video1,489.8,227,7945,2.158
2024-01-09,TikTok,TikTok_Promo,626.74,235,6345,2.667
2024-01-09,LinkedIn,LinkedIn_B2B,1137.41,641,28204,1.774
2024-01-09,LinkedIn,LinkedIn_Lead,1095.41,1925,50050,0.569
2024-01-09,Email,Email_Welcome,94.64,32,832,2.958
2024-01-09,Email,Email_Promo,59.56,29,928,2.054
2024-01-09,Email,Email_Retention,232.14,180,8640,1.29
2024-01-09,Organic,Organic_SEO,0.0,109,3706,0.0
2024-01-09,Organic,Organic_Direct,0.0,147,3822,0.0
2024-01-10,Google_Search,GSearch_Brand,610.97,384,16512,1.591
2024-01-10,Google_Search,GSearch_Generic,2813.94,1524,33528,1.846
2024-01-10,Google_Search,GSearch_Competitor,1410.55,2089,64759,0.675
2024-01-10,Meta_Facebook,FB_Retargeting,1359.36,629,10693,2.161
2024-01-10,Meta_Facebook,FB_Lookalike,1523.58,1218,35322,1.251
2024-01-10,Meta_Facebook,FB_Awareness,1433.72,1089,30492,1.317
2024-01-10,TikTok,TikTok_Video1,920.74,939,31926,0.981
2024-01-10,TikTok,TikTok_Promo,1080.51,391,19159,2.763
2024-01-10,LinkedIn,LinkedIn_B2B,1595.12,1052,10520,1.516
2024-01-10,LinkedIn,LinkedIn_Lead,1038.14,1012,47564,1.026
2024-01-10,Email,Email_Welcome,201.67,154,5852,1.31
2024-01-10,Email,Email_Promo,160.54,155,6200,1.036
2024-01-10,Email,Email_Retention,248.43,85,1700,2.923
2024-01-10,Organic,Organic_SEO,0.0,195,8190,0.0
2024-01-10,Organic,Organic_Direct,0.0,367,11377,0.0
2024-01-11,Google_Search,GSearch_Brand,733.47,254,6350,2.888
2024-01-11,Google_Search,GSearch_Generic,2181.99,2055,45210,1.062
2024-01-11,Google_Search,GSearch_Competitor,868.38,1410,56400,0.616
2024-01-11,Meta_Facebook,FB_Retargeting,1339.17,553,21567,2.422
2024-01-11,Meta_Facebook,FB_Lookalike,1004.55,484,10648,2.076
2024-01-11,Meta_Facebook,FB_Awareness,1521.19,1041,36435,1.461
2024-01-11,TikTok,TikTok_Video1,517.18,241,2410,2.146
2024-01-11,TikTok,TikTok_Promo,1360.46,513,8208,2.652
2024-01-11,LinkedIn,LinkedIn_B2B,2034.68,1943,83549,1.047
2024-01-11,LinkedIn,LinkedIn_Lead,1375.55,726,12342,1.895
2024-01-11,Email,Email_Welcome,164.12,65,2795,2.525
2024-01-11,Email,Email_Promo,296.97,149,5662,1.993
2024-01-11,Email,Email_Retention,203.16,88,3696,2.309
2024-01-11,Organic,Organic_SEO,0.0,330,12540,0.0
2024-01-11,Organic,Organic_Direct,0.0,430,17200,0.0
2024-01-12,Google_Search,GSearch_Brand,1625.17,683,34150,2.379
2024-01-12,Google_Search,GSearch_Generic,1193.28,488,20008,2.445
2024-01-12,Google_Search,GSearch_Competitor,2066.87,1741,24374,1.187
2024-01-12,Meta_Facebook,FB_Retargeting,1513.03,1392,43152,1.087
2024-01-12,Meta_Facebook,FB_Lookalike,843.51,455,8190,1.854
2024-01-12,Meta_Facebook,FB_Awareness,556.41,381,7239,1.46
2024-01-12,TikTok,TikTok_Video1,1118.34,1692,60912,0.661
2024-01-12,TikTok,TikTok_Promo,630.15,378,4914,1.667
2024-01-12,LinkedIn,LinkedIn_B2B,834.35,538,25286,1.551
2024-01-12,LinkedIn,LinkedIn_Lead,2386.73,4348,200008,0.549
2024-01-12,Email,Email_Welcome,145.1,281,8992,0.516
2024-01-12,Email,Email_Promo,124.65,84,3024,1.484
2024-01-12,Email,Email_Retention,184.56,78,3744,2.366
2024-01-12,Organic,Organic_SEO,0.0,299,7176,0.0
2024-01-12,Organic,Organic_Direct,0.0,298,3278,0.0
2024-01-13,Google_Search,GSearch_Brand,1472.14,677,23695,2.175
2024-01-13,Google_Search,GSearch_Generic,2310.45,888,15984,2.602
2024-01-13,Google_Search,GSearch_Competitor,2951.8,1608,56280,1.836
2024-01-13,Meta_Facebook,FB_Retargeting,1306.22,605,9075,2.159
2024-01-13,Meta_Facebook,FB_Lookalike,1392.67,1659,64701,0.839
2024-01-13,Meta_Facebook,FB_Awareness,608.94,529,15870,1.151
2024-01-13,TikTok,TikTok_Video1,475.16,360,12240,1.32
2024-01-13,TikTok,TikTok_Promo,561.73,195,7020,2.881
2024-01-13,LinkedIn,LinkedIn_B2B,929.77,1319,14509,0.705
2024-01-13,LinkedIn,LinkedIn_Lead,1972.95,3130,100160,0.63
2024-01-13,Email,Email_Welcome,106.06,157,1884,0.676
2024-01-13,Email,Email_Promo,238.56,83,1826,2.874
2024-01-13,Email,Email_Retention,259.81,126,3150,2.062
2024-01-13,Organic,Organic_SEO,0.0,392,6664,0.0
2024-01-13,Organic,Organic_Direct,0.0,161,6279,0.0
2024-01-14,Google_Search,GSearch_Brand,2248.66,930,18600,2.418
2024-01-14,Google_Search,GSearch_Generic,2014.73,692,11764,2.911
2024-01-14,Google_Search,GSearch_Competitor,2444.48,2687,77923,0.91
2024-01-14,Meta_Facebook,FB_Retargeting,483.77,857,24853,0.564
2024-01-14,Meta_Facebook,FB_Lookalike,1278.85,461,15674,2.774
2024-01-14,Meta_Facebook,FB_Awareness,974.31,425,5950,2.292
2024-01-14,TikTok,TikTok_Video1,969.73,376,9400,2.579
2024-01-14,TikTok,TikTok_Promo,332.47,136,6528,2.445
2024-01-14,LinkedIn,LinkedIn_B2B,2091.61,839,38594,2.493
2024-01-14,LinkedIn,LinkedIn_Lead,2043.53,1493,55241,1.369
2024-01-14,Email,Email_Welcome,215.38,320,9920,0.673
2024-01-14,Email,Email_Promo,53.16,34,1394,1.564
2024-01-14,Email,Email_Retention,76.38,26,1300,2.938
2024-01-14,Organic,Organic_SEO,0.0,285,5415,0.0
2024-01-14,Organic,Organic_Direct,0.0,425,18275,0.0
2024-01-15,Google_Search,GSearch_Brand,2913.68,2479,109076,1.175
2024-01-15,Google_Search,GSearch_Generic,2436.6,1465,68855,1.663
2024-01-15,Google_Search,GSearch_Competitor,1170.99,445,6675,2.631
2024-01-15,Meta_Facebook,FB_Retargeting,774.18,475,18525,1.63
2024-01-15,Meta_Facebook,FB_Lookalike,1268.74,584,18104,2.172
2024-01-15,Meta_Facebook,FB_Awareness,348.79,132,2772,2.642
2024-01-15,TikTok,TikTok_Video1,833.81,601,15626,1.387
2024-01-15,TikTok,TikTok_Promo,642.44,237,6399,2.711
2024-01-15,LinkedIn,LinkedIn_B2B,1567.16,874,19228,1.793
2024-01-15,LinkedIn,LinkedIn_Lead,579.79,252,10332,2.301
2024-01-15,Email,Email_Welcome,188.79,171,6840,1.104
2024-01-15,Email,Email_Promo,211.48,122,1342,1.733
2024-01-15,Email,Email_Retention,73.26,69,1725,1.062
2024-01-15,Organic,Organic_SEO,0.0,347,11451,0.0
2024-01-15,Organic,Organic_Direct,0.0,321,10272,0.0
2024-01-16,Google_Search,GSearch_Brand,1563.76,661,20491,2.366
2024-01-16,Google_Search,GSearch_Generic,1379.53,844,24476,1.635
2024-01-16,Google_Search,GSearch_Competitor,1128.51,1407,30954,0.802
2024-01-16,Meta_Facebook,FB_Retargeting,836.43,354,7434,2.363
2024-01-16,Meta_Facebook,FB_Lookalike,625.62,266,7182,2.352
2024-01-16,Meta_Facebook,FB_Awareness,1531.79,520,22360,2.946
2024-01-16,TikTok,TikTok_Video1,975.83,330,7260,2.957
2024-01-16,TikTok,TikTok_Promo,585.12,417,12093,1.403
2024-01-16,LinkedIn,LinkedIn_B2B,429.71,234,6318,1.836
2024-01-16,LinkedIn,LinkedIn_Lead,495.58,778,21784,0.637
2024-01-16,Email,Email_Welcome,224.35,275,11275,0.816
2024-01-16,Email,Email_Promo,75.65,142,3976,0.533
2024-01-16,Email,Email_Retention,167.35,104,2184,1.609
2024-01-16,Organic,Organic_SEO,0.0,179,7160,0.0
2024-01-16,Organic,Organic_Direct,0.0,83,2905,0.0
2024-01-17,Google_Search,GSearch_Brand,1729.37,890,11570,1.943
2024-01-17,Google_Search,GSearch_Generic,879.32,347,10063,2.534
2024-01-17,Google_Search,GSearch_Competitor,712.95,636,28620,1.121
2024-01-17,Meta_Facebook,FB_Retargeting,1599.55,793,38857,2.017
2024-01-17,Meta_Facebook,FB_Lookalike,683.67,378,14364,1.809
2024-01-17,Meta_Facebook,FB_Awareness,1844.46,1483,69701,1.244
2024-01-17,TikTok,TikTok_Video1,1487.04,1176,57624,1.264
2024-01-17,TikTok,TikTok_Promo,278.3,95,1520,2.929
2024-01-17,LinkedIn,LinkedIn_B2B,2389.94,2344,53912,1.02
2024-01-17,LinkedIn,LinkedIn_Lead,955.76,1359,33975,0.703
2024-01-17,Email,Email_Welcome,93.45,135,1350,0.692
2024-01-17,Email,Email_Promo,152.13,68,2720,2.237
2024-01-17,Email,Email_Retention,122.81,113,3164,1.087
2024-01-17,Organic,Organic_SEO,0.0,282,3948,0.0
2024-01-17,Organic,Organic_Direct,0.0,185,9250,0.0
2024-01-18,Google_Search,GSearch_Brand,1974.47,786,17292,2.512
2024-01-18,Google_Search,GSearch_Generic,1562.85,839,15941,1.863
2024-01-18,Google_Search,GSearch_Competitor,2771.03,1079,15106,2.568
2024-01-18,Meta_Facebook,FB_Retargeting,401.38,161,7728,2.493
2024-01-18,Meta_Facebook,FB_Lookalike,1573.23,818,22904,1.923
2024-01-18,Meta_Facebook,FB_Awareness,1046.56,626,18154,1.672
2024-01-18,TikTok,TikTok_Video1,1109.65,388,16296,2.86
2024-01-18,TikTok,TikTok_Promo,901.98,565,27120,1.596
2024-01-18,LinkedIn,LinkedIn_B2B,483.71,306,9180,1.581
2024-01-18,LinkedIn,LinkedIn_Lead,1667.8,2953,70872,0.565
2024-01-18,Email,Email_Welcome,290.48,112,5152,2.594
2024-01-18,Email,Email_Promo,196.78,356,9612,0.553
2024-01-18,Email,Email_Retention,194.06,80,1680,2.426
2024-01-18,Organic,Organic_SEO,0.0,383,14554,0.0
2024-01-18,Organic,Organic_Direct,0.0,142,6674,0.0
2024-01-19,Google_Search,GSearch_Brand,1589.71,626,9390,2.539
2024-01-19,Google_Search,GSearch_Generic,1675.03,1101,33030,1.521
2024-01-19,Google_Search,GSearch_Competitor,2175.33,822,25482,2.646
2024-01-19,Meta_Facebook,FB_Retargeting,999.8,575,20125,1.739
2024-01-19,Meta_Facebook,FB_Lookalike,1683.06,897,34983,1.876
2024-01-19,Meta_Facebook,FB_Awareness,449.7,397,6749,1.133
2024-01-19,TikTok,TikTok_Video1,1461.24,967,40614,1.511
2024-01-19,TikTok,TikTok_Promo,1272.41,2530,111320,0.503
2024-01-19,LinkedIn,LinkedIn_B2B,1370.15,2155,92665,0.636
2024-01-19,LinkedIn,LinkedIn_Lead,1159.74,485,24250,2.391
2024-01-19,Email,Email_Welcome,160.51,255,6885,0.629
2024-01-19,Email,Email_Promo,187.3,66,2508,2.838
2024-01-19,Email,Email_Retention,270.21,157,1727,1.721
2024-01-19,Organic,Organic_SEO,0.0,361,9025,0.0
2024-01-19,Organic,Organic_Direct,0.0,209,9405,0.0
2024-01-20,Google_Search,GSearch_Brand,534.19,351,8424,1.522
2024-01-20,Google_Search,GSearch_Generic,2980.64,1071,41769,2.783
2024-01-20,Google_Search,GSearch_Competitor,2867.65,1353,25707,2.119
2024-01-20,Meta_Facebook,FB_Retargeting,1147.24,500,21000,2.294
2024-01-20,Meta_Facebook,FB_Lookalike,1499.2,974,38960,1.539
2024-01-20,Meta_Facebook,FB_Awareness,1966.42,1772,79740,1.11
2024-01-20,TikTok,TikTok_Video1,388.03,397,19056,0.977
2024-01-20,TikTok,TikTok_Promo,860.71,318,4452,2.707
2024-01-20,LinkedIn,LinkedIn_B2B,980.12,396,14256,2.475
2024-01-20,LinkedIn,LinkedIn_Lead,1113.74,451,12177,2.469
2024-01-20,Email,Email_Welcome,255.14,211,6119,1.209
2024-01-20,Email,Email_Promo,259.37,133,5453,1.95
2024-01-20,Email,Email_Retention,266.32,164,6560,1.624
2024-01-20,Organic,Organic_SEO,0.0,332,14608,0.0
2024-01-20,Organic,Organic_Direct,0.0,214,4708,0.0
2024-01-21,Google_Search,GSearch_Brand,2951.94,2690,91460,1.097
2024-01-21,Google_Search,GSearch_Generic,1083.91,444,5328,2.441
2024-01-21,Google_Search,GSearch_Competitor,1295.44,769,26146,1.685
2024-01-21,Meta_Facebook,FB_Retargeting,956.33,442,8398,2.164
2024-01-21,Meta_Facebook,FB_Lookalike,1142.06,1927,80934,0.593
2024-01-21,Meta_Facebook,FB_Awareness,1941.1,1459,23344,1.33
2024-01-21,TikTok,TikTok_Video1,1336.45,834,35862,1.602
2024-01-21,TikTok,TikTok_Promo,1383.57,2569,48811,0.539
2024-01-21,LinkedIn,LinkedIn_B2B,1260.96,590,11210,2.137
2024-01-21,LinkedIn,LinkedIn_Lead,557.14,227,5902,2.454
2024-01-21,Email,Email_Welcome,134.64,60,900,2.244
2024-01-21,Email,Email_Promo,262.94,99,4356,2.656
2024-01-21,Email,Email_Retention,145.0,112,4592,1.295
2024-01-21,Organic,Organic_SEO,0.0,68,3332,0.0
2024-01-21,Organic,Organic_Direct,0.0,373,10444,0.0
2024-01-22,Google_Search,GSearch_Brand,2993.56,1264,46768,2.368
2024-01-22,Google_Search,GSearch_Generic,2945.84,1226,19616,2.403
2024-01-22,Google_Search,GSearch_Competitor,1609.2,719,7909,2.238
2024-01-22,Meta_Facebook,FB_Retargeting,378.18,151,4228,2.505
2024-01-22,Meta_Facebook,FB_Lookalike,909.39,576,14400,1.579
2024-01-22,Meta_Facebook,FB_Awareness,1202.98,628,13188,1.916
2024-01-22,TikTok,TikTok_Video1,420.98,603,20502,0.698
2024-01-22,TikTok,TikTok_Promo,1005.62,912,42864,1.103
2024-01-22,LinkedIn,LinkedIn_B2B,700.55,423,10998,1.656
2024-01-22,LinkedIn,LinkedIn_Lead,1365.1,629,24531,2.17
2024-01-22,Email,Email_Welcome,275.3,125,2500,2.202
2024-01-22,Email,Email_Promo,68.47,23,1081,2.977
2024-01-22,Email,Email_Retention,124.79,42,1092,2.971
2024-01-22,Organic,Organic_SEO,0.0,204,4488,0.0
2024-01-22,Organic,Organic_Direct,0.0,486,19440,0.0
2024-01-23,Google_Search,GSearch_Brand,766.63,527,16864,1.455
2024-01-23,Google_Search,GSearch_Generic,1937.03,649,18172,2.985
2024-01-23,Google_Search,GSearch_Competitor,554.85,215,7525,2.581
2024-01-23,Meta_Facebook,FB_Retargeting,766.62,400,5200,1.917
2024-01-23,Meta_Facebook,FB_Lookalike,1848.05,782,21896,2.363
2024-01-23,Meta_Facebook,FB_Awareness,1618.76,1505,48160,1.076
2024-01-23,TikTok,TikTok_Video1,484.71,496,12896,0.977
2024-01-23,TikTok,TikTok_Promo,1081.09,469,8442,2.305
2024-01-23,LinkedIn,LinkedIn_B2B,1719.32,623,7476,2.76
2024-01-23,LinkedIn,LinkedIn_Lead,1048.76,654,30738,1.604
2024-01-23,Email,Email_Welcome,141.22,170,4760,0.831
2024-01-23,Email,Email_Promo,131.68,85,1870,1.549
2024-01-23,Email,Email_Retention,83.04,44,1452,1.887
2024-01-23,Organic,Organic_SEO,0.0,189,3780,0.0
2024-01-23,Organic,Organic_Direct,0.0,472,18880,0.0
2024-01-24,Google_Search,GSearch_Brand,2918.46,2357,73067,1.238
2024-01-24,Google_Search,GSearch_Generic,2510.58,1502,21028,1.671
2024-01-24,Google_Search,GSearch_Competitor,851.89,292,10220,2.917
2024-01-24,Meta_Facebook,FB_Retargeting,1944.36,774,25542,2.512
2024-01-24,Meta_Facebook,FB_Lookalike,453.51,305,7930,1.487
2024-01-24,Meta_Facebook,FB_Awareness,1212.17,740,19240,1.638
2024-01-24,TikTok,TikTok_Video1,959.93,375,12375,2.56
2024-01-24,TikTok,TikTok_Promo,340.85,314,3454,1.086
2024-01-24,LinkedIn,LinkedIn_B2B,1701.05,595,17850,2.859
2024-01-24,LinkedIn,LinkedIn_Lead,2322.04,2204,30856,1.054
2024-01-24,Email,Email_Welcome,208.85,125,3625,1.671
2024-01-24,Email,Email_Promo,212.31,268,3216,0.792
2024-01-24,Email,Email_Retention,286.57,227,9307,1.262
2024-01-24,Organic,Organic_SEO,0.0,170,7480,0.0
2024-01-24,Organic,Organic_Direct,0.0,282,9306,0.0
2024-01-25,Google_Search,GSearch_Brand,2176.22,922,40568,2.36
2024-01-25,Google_Search,GSearch_Generic,1547.82,657,12483,2.356
2024-01-25,Google_Search,GSearch_Competitor,2713.53,1269,52029,2.138
2024-01-25,Meta_Facebook,FB_Retargeting,1346.61,472,12744,2.853
2024-01-25,Meta_Facebook,FB_Lookalike,355.62,249,9462,1.428
2024-01-25,Meta_Facebook,FB_Awareness,1055.98,968,31944,1.091
2024-01-25,TikTok,TikTok_Video1,329.16,148,6512,2.224
2024-01-25,TikTok,TikTok_Promo,1372.21,649,8437,2.114
2024-01-25,LinkedIn,LinkedIn_B2B,1236.09,1268,21556,0.975
2024-01-25,LinkedIn,LinkedIn_Lead,2392.92,934,14010,2.562
2024-01-25,Email,Email_Welcome,215.69,102,4896,2.115
2024-01-25,Email,Email_Promo,292.77,467,14477,0.627
2024-01-25,Email,Email_Retention,110.89,136,6256,0.815
2024-01-25,Organic,Organic_SEO,0.0,474,21330,0.0
2024-01-25,Organic,Organic_Direct,0.0,160,3840,0.0
2024-01-26,Google_Search,GSearch_Brand,1321.4,1520,72960,0.869
2024-01-26,Google_Search,GSearch_Generic,507.09,191,3629,2.655
2024-01-26,Google_Search,GSearch_Competitor,2968.82,1604,33684,1.851
2024-01-26,Meta_Facebook,FB_Retargeting,486.87,182,3276,2.675
2024-01-26,Meta_Facebook,FB_Lookalike,325.26,131,3275,2.483
2024-01-26,Meta_Facebook,FB_Awareness,1301.05,2411,62686,0.54
2024-01-26,TikTok,TikTok_Video1,268.12,113,4859,2.373
2024-01-26,TikTok,TikTok_Promo,347.74,527,20026,0.66
2024-01-26,LinkedIn,LinkedIn_B2B,2033.84,1140,18240,1.784
2024-01-26,LinkedIn,LinkedIn_Lead,1349.21,1280,62720,1.054
2024-01-26,Email,Email_Welcome,60.84,24,1032,2.535
2024-01-26,Email,Email_Promo,125.41,59,649,2.126
2024-01-26,Email,Email_Retention,65.21,38,1330,1.716
2024-01-26,Organic,Organic_SEO,0.0,105,4305,0.0
2024-01-26,Organic,Organic_Direct,0.0,277,3878,0.0
2024-01-27,Google_Search,GSearch_Brand,2748.17,2105,39995,1.306
2024-01-27,Google_Search,GSearch_Generic,664.21,559,27950,1.188
2024-01-27,Google_Search,GSearch_Competitor,1963.41,861,29274,2.28
2024-01-27,Meta_Facebook,FB_Retargeting,1990.87,1090,42510,1.826
2024-01-27,Meta_Facebook,FB_Lookalike,1159.44,735,12495,1.577
2024-01-27,Meta_Facebook,FB_Awareness,1749.75,822,36990,2.129
